date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:04	336634/336634	---MCZ	200	added ('OK')	image/jpeg	etag:%22522fa-5e21863bd5c00;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/portrait-of-smiling-bus-driver.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/portrait-of-smiling-bus-driver.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:04	738264/738264	---MCZ	200	added ('OK')	image/jpeg	etag:%22b43d8-5e2185cc414c0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/london-s-red-buses-in-station-bus-of-the-public-transport.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/london-s-red-buses-in-station-bus-of-the-public-transport.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:04	428425/428425	---MCZ	200	added ('OK')	image/jpeg	etag:%2268989-5e2183e211040;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/happy-girl-passenger-holding-smartphone-under-tablet-of-young-female-bus-conductor.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/happy-girl-passenger-holding-smartphone-under-tablet-of-young-female-bus-conductor.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:05	53635/53635	---M-Z	200	added ('OK')	image/png	etag:%22d183-5e28cc03bda00;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/logo-white-new.png	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/logo-white-new.png	(from https://templatekit.jegtheme.com/shuttle/)
23:36:06	113589/113589	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:05%20GMT	https://templatekit.jegtheme.com/shuttle/category/tips-trick/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/category/tips-trick/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:06	144334/144334	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:05%20GMT	https://templatekit.jegtheme.com/shuttle/2022/06/23/calculate-the-cost-of-rent-a-bus/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/2022/06/23/calculate-the-cost-of-rent-a-bus/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:06	144487/144487	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:05%20GMT	https://templatekit.jegtheme.com/shuttle/2022/06/23/new-bus-type-volvo-403/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/2022/06/23/new-bus-type-volvo-403/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:06	0/0	---M--	200	added ('OK')	text/css	etag:%220-6063a0fc43e77;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles.css?ver=1.3.0	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles6f3e.css	(from https://templatekit.jegtheme.com/shuttle/)
23:36:06	113499/113499	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:06%20GMT	https://templatekit.jegtheme.com/shuttle/category/buses/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/category/buses/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:07	29898/29898	---M-Z	200	added ('OK')	text/css	etag:%2274ca-60aa66334ed39;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/css/post-24.css?ver=1700559605	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/css/post-2450ca.css	(from https://templatekit.jegtheme.com/shuttle/)
